Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Margin,Market_size,Market_Area,Marketing_Cost,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales ,Total_expenses,Type,Calculated_Profit,Profit_Match,Net_Profit_Status
915,40,-14,2012-10-23,536,52,major market,south,13,beans,coffee,decaf irish cream,26,92,texas,40,60,40,100,26,decaf,26,True,net positive
210,50,8,2012-10-24,589,73,major market,south,14,beans,espresso,decaf espresso,48,123,texas,30,60,40,90,25,decaf,48,True,net positive
970,40,-13,2012-10-25,536,52,major market,central,13,beans,coffee,colombian,27,92,colorado,30,60,40,90,25,regular,27,True,net positive
774,52,-8,2012-10-26,554,68,major market,east,47,beans,espresso,caffe mocha,-8,120,massachusetts,50,60,0,110,76,regular,-8,True,net negative
954,75,14,2012-10-27,1063,89,major market,east,23,leaves,herbal tea,mint,44,164,florida,50,60,30,110,45,decaf,44,True,net positive
936,46,1,2012-10-28,424,68,major market,south,14,leaves,herbal tea,lemon,31,114,texas,40,60,30,100,37,decaf,31,True,net positive
719,55,-5,2012-10-29,410,69,major market,central,20,leaves,tea,darjeeling,15,124,colorado,40,60,20,100,54,regular,15,True,net positive
847,50,8,2012-10-30,589,73,major market,central,14,leaves,tea,darjeeling,48,123,illinois,40,60,40,100,25,regular,48,True,net positive
719,57,-1,2012-10-31,1042,68,major market,central,17,leaves,tea,earl grey,29,125,colorado,40,60,30,100,39,regular,29,True,net positive
339,36,-9,2012-11-01,862,52,major market,east,10,leaves,tea,darjeeling,31,88,massachusetts,30,60,40,90,21,regular,31,True,net positive
314,33,-23,2012-11-02,836,48,small market,central,9,beans,espresso,decaf espresso,27,81,missouri,40,60,50,100,21,decaf,27,True,net positive
314,33,-23,2012-11-02,836,48,small market,central,9,beans,espresso,decaf espresso,27,81,missouri,40,60,50,100,21,decaf,27,True,net positive
504,31,-22,2012-11-03,856,47,small market,south,8,beans,coffee,decaf irish cream,28,78,louisiana,30,60,50,90,19,decaf,28,True,net positive
580,36,-10,2012-11-04,862,52,small market,south,10,beans,coffee,decaf irish cream,30,88,oklahoma,40,60,40,100,22,decaf,30,True,net positive
225,49,4,2012-11-05,454,71,small market,south,15,beans,espresso,decaf espresso,34,120,louisiana,30,60,30,90,37,decaf,34,True,net positive
262,54,-6,2012-11-06,391,67,small market,central,20,beans,coffee,amaretto,14,121,wisconsin,50,60,20,110,53,regular,14,True,net positive
603,46,-10,2012-11-07,316,67,small market,east,14,beans,coffee,amaretto,30,113,new hampshire,40,60,40,100,37,regular,30,True,net positive
603,43,-10,2012-11-08,452,66,small market,east,14,beans,coffee,colombian,20,109,new hampshire,30,60,30,90,46,regular,20,True,net positive
603,44,-18,2012-11-09,325,62,small market,east,40,beans,espresso,caffe mocha,-8,106,new hampshire,40,60,10,100,70,regular,-8,True,net negative
225,53,19,2012-11-10,321,88,small market,south,16,beans,espresso,caffe mocha,49,141,louisiana,40,60,30,100,39,regular,49,True,net positive
425,54,-7,2012-11-11,391,67,small market,west,20,beans,espresso,caffe mocha,13,121,washington,50,60,20,110,54,regular,13,True,net positive
918,54,-7,2012-11-12,391,67,small market,south,20,leaves,herbal tea,chamomile,13,121,oklahoma,50,60,20,110,54,decaf,13,True,net positive
801,46,0,2012-11-13,316,67,small market,west,14,leaves,herbal tea,chamomile,30,113,utah,40,60,30,100,37,decaf,30,True,net positive
435,43,-10,2012-11-14,452,66,small market,west,14,leaves,herbal tea,lemon,20,109,utah,40,60,30,100,46,decaf,20,True,net positive
509,47,4,2012-11-15,834,68,small market,west,13,leaves,herbal tea,lemon,44,115,washington,40,60,40,100,24,decaf,44,True,net positive
203,36,-7,2012-11-16,809,54,small market,east,10,leaves,tea,green tea,33,90,connecticut,30,60,40,90,21,regular,33,True,net positive
314,33,-23,2012-11-02,836,48,small market,central,9,beans,espresso,decaf espresso,27,81,missouri,40,60,50,100,21,decaf,27,True,net positive
206,61,1,2012-11-17,613,86,small market,west,55,leaves,tea,green tea,1,147,washington,40,60,0,100,85,regular,1,True,net positive
682,43,-10,2012-11-18,531,56,major market,south,14,beans,coffee,decaf irish cream,30,99,texas,50,60,40,110,26,decaf,30,True,net positive
214,54,12,2012-11-19,601,79,major market,south,15,beans,espresso,decaf espresso,52,133,texas,40,60,40,100,27,decaf,52,True,net positive
970,47,-6,2012-11-20,521,65,major market,central,42,leaves,herbal tea,lemon,-6,112,colorado,40,60,0,100,71,decaf,-6,True,net negative
303,54,-1,2012-11-21,424,73,major market,central,17,leaves,herbal tea,mint,29,127,colorado,50,60,30,110,44,decaf,29,True,net positive
954,65,3,2012-11-22,403,80,major market,east,24,leaves,herbal tea,lemon,23,145,florida,40,60,20,100,57,decaf,23,True,net positive
561,80,20,2012-11-23,1079,96,major market,east,24,leaves,herbal tea,mint,50,176,florida,60,60,30,120,46,decaf,50,True,net positive
469,54,-2,2012-11-24,424,73,major market,south,17,leaves,herbal tea,chamomile,28,127,texas,50,60,30,110,45,decaf,28,True,net positive
214,41,-6,2012-11-25,435,60,major market,south,13,leaves,herbal tea,lemon,24,101,texas,30,60,30,90,36,decaf,24,True,net positive
619,54,3,2012-11-26,601,79,major market,west,15,leaves,tea,earl grey,53,133,california,30,60,50,90,26,regular,53,True,net positive
314,31,-23,2012-11-27,844,46,small market,central,8,beans,espresso,decaf espresso,27,77,missouri,30,60,50,90,19,decaf,27,True,net positive
225,34,-19,2012-11-28,863,51,small market,south,9,beans,coffee,decaf irish cream,31,85,louisiana,40,60,50,100,20,decaf,31,True,net positive
580,33,-22,2012-11-29,870,49,small market,south,9,beans,coffee,decaf irish cream,28,82,oklahoma,30,60,50,90,21,decaf,28,True,net positive
603,48,-2,2012-11-30,462,74,small market,east,15,beans,coffee,colombian,28,122,new hampshire,40,60,30,100,46,regular,28,True,net positive
985,55,-3,2012-12-01,-1053,76,small market,south,49,beans,espresso,caffe latte,-3,131,louisiana,40,60,0,100,79,regular,-3,True,net negative
505,49,-15,2012-12-02,335,69,small market,south,44,beans,espresso,caffe mocha,-5,118,new mexico,30,60,10,90,74,regular,-5,True,net negative
775,39,-19,2012-12-03,250,49,small market,west,14,beans,coffee,colombian,1,88,nevada,40,60,20,100,48,regular,1,True,net positive
417,49,-5,2012-12-04,335,69,small market,central,44,leaves,herbal tea,chamomile,-5,118,missouri,40,60,0,100,74,decaf,-5,True,net negative
920,41,0,2012-12-05,320,66,small market,central,12,leaves,herbal tea,chamomile,30,107,wisconsin,30,60,30,90,36,decaf,30,True,net positive
573,92,-4,2012-12-06,1898,68,small market,central,28,leaves,herbal tea,lemon,16,160,missouri,80,60,20,140,52,decaf,16,True,net positive
475,68,7,2012-12-07,619,85,small market,east,25,leaves,herbal tea,lemon,27,153,connecticut,50,60,20,110,58,decaf,27,True,net positive
475,63,-4,2012-12-08,1075,76,small market,east,19,leaves,herbal tea,mint,36,139,connecticut,40,60,40,100,40,decaf,36,True,net positive
435,92,-3,2012-12-09,1898,68,small market,west,28,leaves,herbal tea,mint,17,160,utah,80,60,20,140,51,decaf,17,True,net positive
920,55,-3,2012-12-10,627,76,small market,central,49,leaves,tea,earl grey,-3,131,wisconsin,40,60,0,100,79,regular,-3,True,net negative
720,51,-37,2012-12-11,503,71,major market,central,46,leaves,herbal tea,lemon,3,130,colorado,30,60,30,90,76,decaf,3,True,net positive
970,52,-11,2012-12-12,405,71,major market,central,17,leaves,herbal tea,mint,34,131,colorado,30,60,50,90,45,decaf,34,True,net positive
430,43,-8,2012-12-13,419,64,major market,south,13,leaves,herbal tea,lemon,35,114,texas,30,60,50,90,36,decaf,35,True,net positive
561,38,2,2012-12-14,871,56,major market,east,10,leaves,tea,darjeeling,41,100,florida,40,60,50,100,21,regular,41,True,net positive
510,72,33,2012-12-15,650,110,major market,west,23,leaves,tea,green tea,68,194,california,20,60,50,80,54,regular,68,True,net positive
563,0,-14,2012-12-16,430,43,small market,central,0,beans,espresso,decaf espresso,34,46,iowa,0,60,60,60,12,decaf,34,True,net positive
203,47,-19,2012-12-17,375,64,small market,east,15,beans,espresso,decaf espresso,28,118,connecticut,30,60,50,90,43,decaf,28,True,net positive
405,27,-29,2012-12-18,859,39,small market,south,7,beans,coffee,decaf irish cream,25,70,oklahoma,30,60,60,90,18,decaf,25,True,net positive
775,31,-40,2012-12-19,1000,37,small market,west,9,beans,coffee,decaf irish cream,11,72,nevada,30,60,50,90,30,decaf,11,True,net positive
435,40,-5,2012-12-20,881,59,small market,west,11,beans,espresso,decaf espresso,44,106,utah,20,60,60,80,22,decaf,44,True,net positive
603,49,-11,2012-12-21,310,71,small market,east,15,beans,coffee,amaretto,41,128,new hampshire,30,60,60,90,38,regular,41,True,net positive
603,45,-14,2012-12-22,447,69,small market,east,14,beans,coffee,colombian,31,121,new hampshire,30,60,50,90,45,regular,31,True,net positive
603,45,-40,2012-12-23,320,64,small market,east,41,beans,espresso,caffe mocha,0,116,new hampshire,30,60,30,90,71,regular,0,True,net negative
504,60,-9,2012-12-24,-762,84,small market,south,54,beans,espresso,caffe latte,10,153,louisiana,30,60,10,90,83,regular,10,True,net positive
702,34,-33,2012-12-25,240,43,small market,west,12,beans,coffee,colombian,3,82,nevada,40,60,30,100,45,regular,3,True,net positive
971,54,-22,2012-12-26,404,66,small market,west,20,beans,espresso,caffe latte,20,128,oregon,40,60,40,100,54,regular,20,True,net positive
573,45,-39,2012-12-27,320,64,small market,central,41,leaves,herbal tea,chamomile,1,116,missouri,20,60,30,80,70,decaf,1,True,net positive
262,48,7,2012-12-28,851,70,small market,central,13,leaves,herbal tea,lemon,53,126,wisconsin,30,60,60,90,25,decaf,53,True,net positive
801,49,-11,2012-12-29,310,71,small market,west,15,leaves,herbal tea,chamomile,41,128,utah,30,60,60,90,38,decaf,41,True,net positive
509,48,10,2012-12-30,829,71,small market,west,13,leaves,herbal tea,lemon,55,127,washington,30,60,60,90,24,decaf,55,True,net positive
475,40,3,2012-12-31,881,59,small market,east,11,leaves,tea,darjeeling,43,106,connecticut,40,60,50,100,23,regular,43,True,net positive
503,82,45,2013-01-01,788,123,small market,west,27,leaves,tea,earl grey,77,218,oregon,30,60,50,90,59,regular,77,True,net positive
541,91,63,2013-01-02,656,127,small market,west,28,leaves,tea,green tea,90,232,oregon,40,60,50,100,51,regular,90,True,net positive
936,40,-1,2013-01-03,536,52,major market,south,13,beans,coffee,decaf irish cream,32,98,texas,40,60,40,100,26,decaf,32,True,net positive
254,50,31,2013-01-04,589,73,major market,south,14,beans,espresso,decaf espresso,56,131,texas,30,60,40,90,25,decaf,56,True,net positive
719,40,0,2013-01-05,536,52,major market,central,13,beans,coffee,colombian,33,98,colorado,30,60,40,90,25,regular,33,True,net positive
339,52,-12,2013-01-06,554,68,major market,east,47,beans,espresso,caffe mocha,0,128,massachusetts,50,60,0,110,76,regular,0,True,net negative
561,75,35,2013-01-07,1063,89,major market,east,23,leaves,herbal tea,mint,55,175,florida,50,60,30,110,45,decaf,55,True,net positive
806,46,16,2013-01-08,424,68,major market,south,14,leaves,herbal tea,lemon,38,121,texas,40,60,30,100,37,decaf,38,True,net positive
719,55,2,2013-01-09,410,69,major market,central,20,leaves,tea,darjeeling,23,132,colorado,40,60,20,100,54,regular,23,True,net positive
708,50,31,2013-01-10,589,73,major market,central,14,leaves,tea,darjeeling,56,131,illinois,40,60,40,100,25,regular,56,True,net positive
719,57,13,2013-01-11,1042,68,major market,central,17,leaves,tea,earl grey,37,133,colorado,40,60,30,100,39,regular,37,True,net positive
351,36,6,2013-01-12,862,52,major market,east,10,leaves,tea,darjeeling,37,94,massachusetts,30,60,40,90,21,regular,37,True,net positive
636,33,-10,2013-01-13,836,48,small market,central,9,beans,espresso,decaf espresso,32,86,missouri,40,60,50,100,21,decaf,32,True,net positive
504,31,-8,2013-01-14,856,47,small market,south,8,beans,coffee,decaf irish cream,33,83,louisiana,30,60,50,90,19,decaf,33,True,net positive
580,36,5,2013-01-15,862,52,small market,south,10,beans,coffee,decaf irish cream,36,94,oklahoma,40,60,40,100,22,decaf,36,True,net positive
337,49,20,2013-01-16,454,71,small market,south,15,beans,espresso,decaf espresso,42,128,louisiana,30,60,30,90,37,decaf,42,True,net positive
262,54,1,2013-01-17,391,67,small market,central,20,beans,coffee,amaretto,22,129,wisconsin,50,60,20,110,53,regular,22,True,net positive
603,46,5,2013-01-18,316,67,small market,east,14,beans,coffee,amaretto,37,120,new hampshire,40,60,40,100,37,regular,37,True,net positive
603,43,0,2013-01-19,452,66,small market,east,14,beans,coffee,colombian,27,116,new hampshire,30,60,30,90,46,regular,27,True,net positive
603,44,-22,2013-01-20,325,62,small market,east,40,beans,espresso,caffe mocha,-1,113,new hampshire,40,60,10,100,70,regular,-1,True,net negative
318,53,43,2013-01-21,321,88,small market,south,16,beans,espresso,caffe mocha,58,150,louisiana,40,60,30,100,39,regular,58,True,net positive
206,54,-1,2013-01-22,391,67,small market,west,20,beans,espresso,caffe mocha,21,129,washington,50,60,20,110,54,regular,21,True,net positive
580,54,-1,2013-01-23,391,67,small market,south,20,leaves,herbal tea,chamomile,21,129,oklahoma,50,60,20,110,54,decaf,21,True,net positive
435,46,15,2013-01-24,316,67,small market,west,14,leaves,herbal tea,chamomile,37,120,utah,40,60,30,100,37,decaf,37,True,net positive
435,43,0,2013-01-25,452,66,small market,west,14,leaves,herbal tea,lemon,27,116,utah,40,60,30,100,46,decaf,27,True,net positive
253,47,25,2013-01-26,834,68,small market,west,13,leaves,herbal tea,lemon,52,123,washington,40,60,40,100,24,decaf,52,True,net positive
203,36,9,2013-01-27,809,54,small market,east,10,leaves,tea,green tea,39,96,connecticut,30,60,40,90,21,regular,39,True,net positive
509,61,1,2013-01-28,613,86,small market,west,55,leaves,tea,green tea,11,157,washington,40,60,0,100,85,regular,11,True,net positive
956,43,5,2013-01-29,531,56,major market,south,14,beans,coffee,decaf irish cream,37,106,texas,50,60,40,110,26,decaf,37,True,net positive
430,54,37,2013-01-30,601,79,major market,south,15,beans,espresso,decaf espresso,61,142,texas,40,60,40,100,27,decaf,61,True,net positive
719,47,-9,2013-01-31,521,65,major market,central,42,leaves,herbal tea,lemon,1,119,colorado,40,60,0,100,71,decaf,1,True,net positive
970,54,13,2013-02-01,424,73,major market,central,17,leaves,herbal tea,mint,37,135,colorado,50,60,30,110,44,decaf,37,True,net positive
305,65,14,2013-02-02,403,80,major market,east,24,leaves,herbal tea,lemon,33,155,florida,40,60,20,100,57,decaf,33,True,net positive
407,80,44,2013-02-03,1079,96,major market,east,24,leaves,herbal tea,mint,62,188,florida,60,60,30,120,46,decaf,62,True,net positive
325,54,12,2013-02-04,424,73,major market,south,17,leaves,herbal tea,chamomile,36,135,texas,50,60,30,110,45,decaf,36,True,net positive
430,41,6,2013-02-05,435,60,major market,south,13,leaves,herbal tea,lemon,31,108,texas,30,60,30,90,36,decaf,31,True,net positive
408,54,29,2013-02-06,601,79,major market,west,15,leaves,tea,earl grey,62,142,california,30,60,50,90,26,regular,62,True,net positive
816,31,-10,2013-02-07,844,46,small market,central,8,beans,espresso,decaf espresso,32,82,missouri,30,60,50,90,19,decaf,32,True,net positive
337,34,-4,2013-02-08,863,51,small market,south,9,beans,coffee,decaf irish cream,37,91,louisiana,40,60,50,100,20,decaf,37,True,net positive
918,33,-8,2013-02-09,870,49,small market,south,9,beans,coffee,decaf irish cream,33,87,oklahoma,30,60,50,90,21,decaf,33,True,net positive
603,48,12,2013-02-10,462,74,small market,east,15,beans,coffee,colombian,36,130,new hampshire,40,60,30,100,46,regular,36,True,net positive
225,55,-4,2013-02-11,-1053,76,small market,south,49,beans,espresso,caffe latte,6,140,louisiana,40,60,0,100,79,regular,6,True,net positive
505,49,-17,2013-02-12,335,69,small market,south,44,beans,espresso,caffe mocha,3,126,new mexico,30,60,10,90,74,regular,3,True,net positive
702,39,-19,2013-02-13,250,49,small market,west,14,beans,coffee,colombian,7,94,nevada,40,60,20,100,48,regular,7,True,net positive
314,49,-7,2013-02-14,335,69,small market,central,44,leaves,herbal tea,chamomile,3,126,missouri,40,60,0,100,74,decaf,3,True,net positive
920,41,15,2013-02-15,320,66,small market,central,12,leaves,herbal tea,chamomile,37,114,wisconsin,30,60,30,90,36,decaf,37,True,net positive
417,92,4,2013-02-16,1898,68,small market,central,28,leaves,herbal tea,lemon,27,171,missouri,80,60,20,140,52,decaf,27,True,net positive
860,68,20,2013-02-17,619,85,small market,east,25,leaves,herbal tea,lemon,37,163,connecticut,50,60,20,110,58,decaf,37,True,net positive
203,63,13,2013-02-18,1075,76,small market,east,19,leaves,herbal tea,mint,45,148,connecticut,40,60,40,100,40,decaf,45,True,net positive
435,92,5,2013-02-19,1898,68,small market,west,28,leaves,herbal tea,mint,28,171,utah,80,60,20,140,51,decaf,28,True,net positive
262,55,-4,2013-02-20,627,76,small market,central,49,leaves,tea,earl grey,6,140,wisconsin,40,60,0,100,79,regular,6,True,net positive
719,39,-23,2013-02-21,541,51,major market,central,12,beans,coffee,colombian,27,90,colorado,30,50,50,80,24,regular,27,True,net positive
305,80,8,2013-02-22,1055,94,major market,east,24,leaves,herbal tea,mint,48,174,florida,40,50,40,90,46,decaf,48,True,net positive
303,54,-17,2013-02-23,404,66,major market,central,20,leaves,tea,darjeeling,13,120,colorado,30,50,30,80,53,regular,13,True,net positive
303,54,-13,2013-02-24,1037,64,major market,central,16,leaves,tea,earl grey,27,118,colorado,30,50,40,80,37,regular,27,True,net positive
508,27,-30,2013-02-25,859,39,major market,east,7,leaves,tea,darjeeling,20,66,massachusetts,20,50,50,70,19,regular,20,True,net positive
209,76,29,2013-02-26,580,111,major market,west,21,leaves,tea,earl grey,79,187,california,30,50,50,80,32,regular,79,True,net positive
715,22,-40,2013-02-27,573,29,small market,central,7,beans,espresso,decaf espresso,10,51,wisconsin,20,50,50,70,19,decaf,10,True,net positive
319,23,-32,2013-02-28,800,35,small market,central,6,beans,espresso,caffe mocha,18,58,iowa,20,50,50,70,17,regular,18,True,net positive
959,79,4,2013-03-01,593,98,small market,east,30,leaves,herbal tea,lemon,34,177,connecticut,40,50,30,90,64,decaf,34,True,net positive
860,65,-15,2013-03-02,1053,77,small market,east,20,leaves,herbal tea,mint,35,142,connecticut,30,50,50,80,42,decaf,35,True,net positive
262,46,-10,2013-03-03,449,67,small market,central,14,leaves,tea,darjeeling,30,113,wisconsin,20,50,40,70,37,regular,30,True,net positive
715,60,0,2013-03-04,606,84,small market,central,54,leaves,tea,earl grey,0,144,wisconsin,40,50,0,90,84,regular,0,True,net negative
206,60,17,2013-03-05,329,99,small market,west,18,leaves,tea,darjeeling,57,159,washington,20,50,40,70,42,regular,57,True,net positive
773,40,-3,2013-03-06,536,52,major market,central,13,leaves,herbal tea,lemon,27,92,illinois,30,50,30,80,25,decaf,27,True,net positive
614,36,-10,2013-03-07,862,52,major market,central,10,leaves,herbal tea,lemon,30,88,ohio,30,50,40,80,22,decaf,30,True,net positive
617,55,-5,2013-03-08,410,69,major market,east,20,leaves,herbal tea,lemon,15,124,massachusetts,40,50,20,90,54,decaf,15,True,net positive
707,40,-3,2013-03-09,536,52,major market,west,13,leaves,herbal tea,mint,27,92,california,30,50,30,80,25,decaf,27,True,net positive
352,28,-17,2013-03-10,875,42,major market,east,7,leaves,tea,darjeeling,23,70,florida,20,50,40,70,19,regular,23,True,net positive
561,31,-12,2013-03-11,856,47,major market,east,8,leaves,tea,green tea,28,78,florida,30,50,40,80,19,regular,28,True,net positive
351,32,-11,2013-03-12,482,48,major market,east,8,leaves,tea,green tea,29,80,massachusetts,30,50,40,80,19,regular,29,True,net positive
650,50,7,2013-03-13,589,73,major market,west,14,leaves,tea,earl grey,47,123,california,30,50,40,80,26,regular,47,True,net positive
712,0,-9,2013-03-14,387,43,small market,central,0,beans,espresso,decaf espresso,31,43,iowa,0,50,40,50,12,decaf,31,True,net positive
505,82,-18,2013-03-15,1804,40,small market,south,25,beans,coffee,decaf irish cream,-8,122,new mexico,90,50,10,140,48,decaf,-8,True,net negative
515,22,-24,2013-03-16,802,34,small market,central,6,beans,espresso,caffe mocha,16,56,iowa,20,50,40,70,18,regular,16,True,net positive
505,44,-7,2013-03-17,325,62,small market,south,40,beans,espresso,caffe mocha,-7,106,new mexico,30,50,0,80,69,regular,-7,True,net negative
775,33,-14,2013-03-18,243,41,small market,west,12,beans,coffee,colombian,-4,74,nevada,30,50,10,80,45,regular,-4,True,net negative
573,44,-8,2013-03-19,325,62,small market,central,40,leaves,herbal tea,chamomile,-8,106,missouri,40,50,0,90,70,decaf,-8,True,net negative
262,31,-13,2013-03-20,856,47,small market,central,8,leaves,herbal tea,lemon,27,78,wisconsin,20,50,40,70,20,decaf,27,True,net positive
475,69,8,2013-03-21,1060,81,small market,east,21,leaves,herbal tea,mint,38,150,connecticut,50,50,30,100,43,decaf,38,True,net positive
262,49,13,2013-03-22,454,71,small market,central,15,leaves,tea,darjeeling,33,120,wisconsin,40,50,20,90,38,regular,33,True,net positive
206,49,4,2013-03-23,454,71,small market,west,15,leaves,tea,earl grey,34,120,washington,30,50,30,80,37,regular,34,True,net positive
970,43,-1,2013-03-24,531,56,major market,central,14,beans,coffee,colombian,29,99,colorado,40,50,30,90,27,regular,29,True,net positive
614,41,4,2013-03-25,435,60,major market,central,13,beans,coffee,colombian,24,101,ohio,40,50,20,90,36,regular,24,True,net positive
339,47,-10,2013-03-26,571,52,major market,east,42,beans,espresso,caffe mocha,-20,99,massachusetts,40,50,-10,90,72,regular,-20,True,net negative
773,43,-1,2013-03-27,531,56,major market,central,14,leaves,herbal tea,lemon,29,99,illinois,40,50,30,90,27,decaf,29,True,net positive
805,43,-1,2013-03-28,531,56,major market,west,14,leaves,herbal tea,mint,29,99,california,40,50,30,90,27,decaf,29,True,net positive
303,46,-4,2013-03-29,422,57,major market,central,17,leaves,tea,darjeeling,6,103,colorado,30,50,10,80,51,regular,6,True,net positive
303,53,6,2013-03-30,1054,63,major market,central,16,leaves,tea,earl grey,26,116,colorado,40,50,20,90,37,regular,26,True,net positive
617,33,-11,2013-03-31,870,49,major market,east,9,leaves,tea,darjeeling,29,82,massachusetts,30,50,40,80,20,regular,29,True,net positive
863,34,-10,2013-04-01,863,51,major market,east,9,leaves,tea,green tea,30,85,florida,30,50,40,80,21,regular,30,True,net positive
641,0,-8,2013-04-02,344,43,small market,central,0,beans,espresso,decaf espresso,32,43,iowa,0,50,40,50,11,decaf,32,True,net positive
225,43,7,2013-04-03,466,63,small market,south,13,beans,espresso,decaf espresso,27,106,louisiana,30,50,20,80,36,decaf,27,True,net positive
702,31,-22,2013-04-04,1009,38,small market,west,9,beans,coffee,decaf irish cream,8,69,nevada,30,50,30,80,30,decaf,8,True,net positive
515,23,-23,2013-04-05,807,35,small market,central,6,beans,espresso,caffe mocha,17,58,iowa,20,50,40,70,18,regular,17,True,net positive
985,41,11,2013-04-06,320,66,small market,south,12,beans,espresso,caffe mocha,31,107,louisiana,30,50,20,80,35,regular,31,True,net positive
971,46,-4,2013-04-07,422,57,small market,west,17,beans,espresso,caffe latte,6,103,oregon,40,50,10,90,51,regular,6,True,net positive
262,43,8,2013-04-08,466,63,small market,central,13,leaves,tea,darjeeling,28,106,wisconsin,30,50,20,80,35,regular,28,True,net positive
959,33,-12,2013-04-09,818,49,small market,east,9,leaves,tea,green tea,28,82,connecticut,30,50,40,80,21,regular,28,True,net positive
435,49,-4,2013-04-10,335,69,small market,west,44,leaves,tea,darjeeling,-4,118,utah,30,50,0,80,73,regular,-4,True,net negative
360,55,7,2013-04-11,627,76,small market,west,49,leaves,tea,green tea,-3,131,washington,40,50,-10,90,79,regular,-3,True,net negative
303,39,-10,2013-04-12,541,51,major market,central,12,beans,coffee,colombian,33,96,colorado,30,50,50,80,24,regular,33,True,net positive
904,80,31,2013-04-13,1055,94,major market,east,24,leaves,herbal tea,mint,59,185,florida,40,50,40,90,46,decaf,59,True,net positive
720,54,-11,2013-04-14,404,66,major market,central,20,leaves,tea,darjeeling,21,128,colorado,30,50,30,80,53,regular,21,True,net positive
970,54,0,2013-04-15,1037,64,major market,central,16,leaves,tea,earl grey,35,126,colorado,30,50,40,80,37,regular,35,True,net positive
978,27,-20,2013-04-16,859,39,major market,east,7,leaves,tea,darjeeling,24,70,massachusetts,20,50,50,70,19,regular,24,True,net positive
